Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.120.108.17,224.0.0.252,64486,5355,17,411663,2,0,148,0,74,74,74,0.0,0,0,0.0,0.0,359.517372,4.858343,411663,0.0,411663,411663,411663,411663,0.0,411663,411663,0,0.0,0.0,0,0,0,0,0,0,56,0,4.858343,0.0,74,74,74,0.0,0.0,0,0,0,0,0,0,0,0,0.0,74,74,0.0,0,0,0,0,0,0,2,148,0,0,0,0,2,74,411663,0.0,411663,411663,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,ff02::1:2,546,547,17,8301959,5,0,610,0,122,122,122,0.0,0,0,0.0,0.0,73.476634,0.602267,2075489.75,1354888.42543,4007908,1006768,8301959,2075489.75,1354888.42543,4007908,1006768,0,0.0,0.0,0,0,0,0,0,0,240,0,0.602267,0.0,122,122,122,0.0,0.0,0,0,0,0,0,0,0,0,0.0,122,122,0.0,0,0,0,0,0,0,5,610,0,0,0,0,5,122,8301959,0.0,8301959,8301959,0.0,0.0,0,0
10.120.100.143,10.120.111.255,137,137,17,4517753,6,0,552,0,92,92,92,0.0,0,0,0.0,0.0,122.184635,1.328094,903550.6,307583.52526,1446139,716451,4517753,903550.6,307583.52526,1446139,716451,0,0.0,0.0,0,0,0,0,0,0,168,0,1.328094,0.0,92,92,92,0.0,0.0,0,0,0,0,0,0,0,0,0.0,92,92,0.0,0,0,0,0,0,0,6,552,0,0,0,0,6,92,4517753,0.0,4517753,4517753,0.0,0.0,0,0
10.120.113.61,224.0.0.251,5353,5353,17,0,1,0,237,0,237,237,237,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,0,0,0,237,237,237,0.0,0.0,0,0,0,0,0,0,0,0,0.0,237,237,0.0,0,0,0,0,0,0,1,237,0,0,0,0,1,237,0.0,0.0,0,0,0.0,0.0,0,0
fe80::14bf:8b76:3313:5142,ff02::fb,5353,5353,17,0,1,0,257,0,257,257,257,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,0,0,0,257,257,257,0.0,0.0,0,0,0,0,0,0,0,0,0.0,257,257,0.0,0,0,0,0,0,0,1,257,0,0,0,0,1,257,0.0,0.0,0,0,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,ff02::1,0,0,58,2495151,2,0,172,0,86,86,86,0.0,0,0,0.0,0.0,68.933704,0.801555,2495151,0.0,2495151,2495151,2495151,2495151,0.0,2495151,2495151,0,0.0,0.0,0,0,0,0,0,0,80,0,0.801555,0.0,86,86,86,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86,86,0.0,0,0,0,0,0,0,2,172,0,0,0,0,0,86,2495151,0.0,2495151,2495151,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,ff02::2,0,0,58,3502944,5,0,342,0,70,62,68.4,3.577709,0,0,0.0,0.0,97.632163,1.427371,875736,252086.629682,1007766,497733,3502944,875736,252086.629682,1007766,497733,0,0.0,0.0,0,0,0,0,0,0,200,0,1.427371,0.0,62,70,68.4,3.577709,12.8,0,0,0,0,0,0,0,0,0.0,68.4,68.4,0.0,0,0,0,0,0,0,5,342,0,0,0,0,0,62,3502944,0.0,3502944,3502944,0.0,0.0,0,0
10.120.99.19,10.120.111.255,137,137,17,0,3,0,330,0,110,110,110,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,84,0,0,0,110,110,110,0.0,0.0,0,0,0,0,0,0,0,0,0.0,110,110,0.0,0,0,0,0,0,0,3,330,0,0,0,0,3,110,0,0.0,0,0,0.0,0.0,0,0
fe80::420:dcf5:d337:458b,ff02::2,0,0,58,4926809,2,0,140,0,70,70,70,0.0,0,0,0.0,0.0,28.415958,0.405942,4926809,0.0,4926809,4926809,4926809,4926809,0.0,4926809,4926809,0,0.0,0.0,0,0,0,0,0,0,80,0,0.405942,0.0,70,70,70,0.0,0.0,0,0,0,0,0,0,0,0,0.0,70,70,0.0,0,0,0,0,0,0,2,140,0,0,0,0,0,70,4926809,0.0,4926809,4926809,0.0,0.0,0,0
10.120.108.17,239.255.255.250,50722,1900,17,102725,2,0,358,0,179,179,179,0.0,0,0,0.0,0.0,3485.032855,19.469457,102725,0.0,102725,102725,102725,102725,0.0,102725,102725,0,0.0,0.0,0,0,0,0,0,0,56,0,19.469457,0.0,179,179,179,0.0,0.0,0,0,0,0,0,0,0,0,0.0,179,179,0.0,0,0,0,0,0,0,2,358,0,0,0,0,2,179,102725,0.0,102725,102725,0.0,0.0,0,0
