Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.120.101.1,239.255.255.250,54008,1900,17,0,1,0,179,0,179,179,179,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,0,0,0,179,179,179,0.0,0.0,0,0,0,0,0,0,0,0,0.0,179,179,0.0,0,0,0,0,0,0,1,179,0,0,0,0,1,179,0.0,0.0,0,0,0.0,0.0,0,0
10.120.112.122,239.255.255.250,52141,1900,17,2969363,2,0,358,0,179,179,179,0.0,0,0,0.0,0.0,120.564579,0.673545,2969363,0.0,2969363,2969363,2969363,2969363,0.0,2969363,2969363,0,0.0,0.0,0,0,0,0,0,0,56,0,0.673545,0.0,179,179,179,0.0,0.0,0,0,0,0,0,0,0,0,0.0,179,179,0.0,0,0,0,0,0,0,2,358,0,0,0,0,2,179,2969363,0.0,2969363,2969363,0.0,0.0,0,0
fe80::c6a:eb43:16d0:f506,ff02::1:ff42:7617,0,0,58,1023555,2,0,172,0,86,86,86,0.0,0,0,0.0,0.0,168.041776,1.953974,1023555,0.0,1023555,1023555,1023555,1023555,0.0,1023555,1023555,0,0.0,0.0,0,0,0,0,0,0,80,0,1.953974,0.0,86,86,86,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86,86,0.0,0,0,0,0,0,0,2,172,0,0,0,0,0,86,1023555,0.0,1023555,1023555,0.0,0.0,0,0
10.120.105.198,8.8.8.8,61184,53,6,2003826,2,0,132,0,66,66,66,0.0,0,0,0.0,0.0,65.873983,0.998091,2003826,0.0,2003826,2003826,2003826,2003826,0.0,2003826,2003826,0,0.0,0.0,0,0,0,0,0,0,104,0,0.998091,0.0,66,66,66,0.0,0.0,0,2,0,0,0,0,0,0,0.0,66,66,0.0,0,0,0,0,0,0,2,132,0,0,65535,0,0,66,2003826,0.0,2003826,2003826,0.0,0.0,0,0
10.120.105.198,8.8.8.8,60446,53,6,2003769,2,0,132,0,66,66,66,0.0,0,0,0.0,0.0,65.875857,0.998119,2003769,0.0,2003769,2003769,2003769,2003769,0.0,2003769,2003769,0,0.0,0.0,0,0,0,0,0,0,104,0,0.998119,0.0,66,66,66,0.0,0.0,0,2,0,0,0,0,0,0,0.0,66,66,0.0,0,0,0,0,0,0,2,132,0,0,65535,0,0,66,2003769,0.0,2003769,2003769,0.0,0.0,0,0
10.120.105.198,8.8.4.4,60515,53,6,3007277,3,0,198,0,66,66,66,0.0,0,0,0.0,0.0,65.840293,0.99758,1503638.5,706268.859651,2003046,1004231,3007277,1503638.5,706268.859651,2003046,1004231,0,0.0,0.0,0,0,0,0,0,0,156,0,0.99758,0.0,66,66,66,0.0,0.0,0,3,0,0,0,0,0,0,0.0,66,66,0.0,0,0,0,0,0,0,3,198,0,0,65535,0,0,66,3007277,0.0,3007277,3007277,0.0,0.0,0,0
10.120.105.198,8.8.4.4,63581,53,6,3006898,3,0,198,0,66,66,66,0.0,0,0,0.0,0.0,65.848592,0.997706,1503449,706398.260192,2002948,1003950,3006898,1503449,706398.260192,2002948,1003950,0,0.0,0.0,0,0,0,0,0,0,156,0,0.997706,0.0,66,66,66,0.0,0.0,0,3,0,0,0,0,0,0,0.0,66,66,0.0,0,0,0,0,0,0,3,198,0,0,65535,0,0,66,3006898,0.0,3006898,3006898,0.0,0.0,0,0
10.120.112.183,224.0.0.251,5353,5353,17,0,1,0,119,0,119,119,119,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,0,0,0,119,119,119,0.0,0.0,0,0,0,0,0,0,0,0,0.0,119,119,0.0,0,0,0,0,0,0,1,119,0,0,0,0,1,119,0.0,0.0,0,0,0.0,0.0,0,0
fe80::c8e1:40ff:fede:bba7,ff02::fb,5353,5353,17,0,1,0,139,0,139,139,139,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,0,0,0,139,139,139,0.0,0.0,0,0,0,0,0,0,0,0,0.0,139,139,0.0,0,0,0,0,0,0,1,139,0,0,0,0,1,139,0.0,0.0,0,0,0.0,0.0,0,0
10.120.105.198,8.8.4.4,50051,53,6,0,1,0,66,0,66,66,66,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,52,0,0,0,66,66,66,0.0,0.0,0,1,0,0,0,0,0,0,0.0,66,66,0.0,0,0,0,0,0,0,1,66,0,0,65535,0,0,66,0.0,0.0,0,0,0.0,0.0,0,0
