Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
172.20.10.3,151.101.66.132,50796,443,6,148092,1,1,55,66,55,55,55,0.0,66,66,66,0.0,817.059666,13.505118,148092,0.0,148092,148092,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,52,6.752559,6.752559,55,66,60.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,60.5,55,66,0,0,0,0,0,0,1,55,1,66,2042,275,1,55,148092,0.0,148092,148092,0.0,0.0,0,0
172.20.10.3,151.101.194.132,63127,443,6,281677,1,1,55,66,55,55,55,0.0,66,66,66,0.0,429.570039,7.100331,281677,0.0,281677,281677,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,52,3.550166,3.550166,55,66,60.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,60.5,55,66,0,0,0,0,0,0,1,55,1,66,2047,272,1,55,281677,0.0,281677,281677,0.0,0.0,0,0
172.20.10.3,34.54.84.110,63204,443,6,1020447,45,55,4063,78801,848,54,90.288889,117.792889,3882,54,1432.745455,1007.949169,81203.62939,97.99627,10307.545455,50183.757547,330460,0,849586,19308.772727,89618.991958,510819,1,840218,15559.592593,71811.924249,414032,0,1,1,0,0,1800,2212,44.098322,53.897949,54,3882,828.64,1005.422787,1010874.980202,0,0,0,56,100,0,0,0,1.222222,828.64,90.288889,1432.745455,0,0,0,0,0,0,45,4063,55,78801,510,1043,19,54,1020447,0.0,1020447,1020447,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4829:7700::,58049,443,17,83696,1,1,91,86,91,91,91,0.0,86,86,86,0.0,2114.796406,23.896005,83696,0.0,83696,83696,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,48,11.948002,11.948002,86,91,88.5,3.535534,12.5,0,0,0,0,0,0,0,0,1.0,88.5,91,86,0,0,0,0,0,0,1,91,1,86,0,0,1,91,83696,0.0,83696,83696,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,fe80::84b1:e4ff:fe31:6264,61675,53,17,1224355,2,2,190,346,100,90,95,7.071068,212,134,173,55.154329,437.781526,3.267026,408118.333333,630097.264217,1134321,6354,1218001,1218001,0.0,1218001,1218001,1140675,1140675,0.0,1140675,1140675,0,0,0,0,96,96,1.633513,1.633513,90,212,134,55.305214,3058.666667,0,0,0,0,0,0,0,0,1.0,134,95,173,0,0,0,0,0,0,2,190,2,346,0,0,2,90,1224355,0.0,1224355,1224355,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,fe80::84b1:e4ff:fe31:6264,51890,53,17,83038,1,1,100,236,100,100,100,0.0,236,236,236,0.0,4046.34023,24.085359,83038,0.0,83038,83038,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,48,12.042679,12.042679,100,236,168,96.166522,9248.0,0,0,0,0,0,0,0,0,1.0,168,100,236,0,0,0,0,0,0,1,100,1,236,0,0,1,100,83038,0.0,83038,83038,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2600:140f:8a00::17c1:a530,58568,443,6,508745,13,15,1750,7320,544,74,134.615385,129.18497,2834,74,488,784.781498,17828.185044,55.037396,18842.407407,48085.686817,180133,0,508745,42395.416667,66207.975389,180234,117,371676,26548.285714,58075.236578,185789,0,1,1,0,0,792,924,25.553077,29.484319,74,2834,323.928571,599.145004,358974.73545,2,2,1,13,27,0,0,0,1.153846,323.928571,134.615385,488,0,0,0,0,0,0,13,1750,15,7320,65535,64800,5,74,508745,0.0,508745,508745,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2600:140f:8a00::17c1:a508,55299,443,6,0,1,0,74,0,74,74,74,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,0,0,0,74,74,74,0.0,0.0,1,0,0,0,1,0,0,0,0.0,74,74,0.0,0,0,0,0,0,0,1,74,0,0,1024,0,0,74,0.0,0.0,0,0,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4843:400::,64028,443,6,682054,5,5,894,7770,586,74,178.8,227.691019,3734,74,1554,1520.049341,12702.806523,14.661596,75783.777778,186524.939822,562885,16,682054,170513.5,338203.908626,677813,151,567281,141820.25,280714.738311,562885,269,1,1,0,0,312,300,7.330798,7.330798,74,3734,866.4,1255.101165,1575278.933333,0,0,0,5,10,0,0,0,1.0,866.4,178.8,1554,0,0,0,0,0,0,5,894,5,7770,255,1043,1,74,682054,0.0,682054,682054,0.0,0.0,0,0
172.20.10.3,208.95.112.1,57138,80,6,794979,4,3,474,508,300,54,118.5,121.132159,396,54,169.333333,196.30928,1235.252755,8.805264,132496.5,171601.002619,387805,102,692443,230814.333333,204343.74035,389383,208,492229,246114.5,200819.032964,388115,104114,1,1,0,0,172,124,5.031579,3.773685,54,396,140.285714,144.639453,20920.571429,2,2,0,2,6,0,0,0,0.75,140.285714,118.5,169.333333,0,0,0,0,0,0,4,474,3,508,65535,8190,1,54,794979,0.0,794979,794979,0.0,0.0,0,0
