Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
2001:4860:4860::8888,2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,443,54736,6,0,1,0,86,0,86,86,86,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,72,0,0,0,86,86,86,0.0,0.0,0,0,0,0,1,0,0,0,0.0,86,86,0.0,0,0,0,0,0,0,1,86,0,0,1041,0,0,86,0.0,0.0,0,0,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2404:6800:4000:1010::5f,64565,443,6,45608,1,1,75,86,75,75,75,0.0,86,86,86,0.0,3530.082442,43.851956,45608,0.0,45608,45608,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,21.925978,21.925978,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1043,1,75,45608,0.0,45608,45608,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,64038,443,6,129296,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1245.204801,15.468383,129296,0.0,129296,129296,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,7.734191,7.734191,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,1040,1,75,129296,0.0,129296,129296,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,58524,443,6,142718,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1128.098768,14.013649,142718,0.0,142718,142718,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,7.006825,7.006825,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,2322,1,75,142718,0.0,142718,142718,0.0,0.0,0,0
2401:4900:57d0:49f5:5824:a461:f3c3:770,2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,0,0,58,5026750,2,2,164,172,86,78,82,5.656854,86,86,86,0.0,66.842393,0.795743,1675583.333333,2799637.378384,4907597,119,5026750,5026750,0.0,5026750,5026750,4907597,4907597,0.0,4907597,4907597,0,0,0,0,80,80,0.397871,0.397871,78,86,84,4.0,16.0,0,0,0,0,0,0,0,0,1.0,84,82,86,0,0,0,0,0,0,2,164,2,172,0,0,0,78,5026750,0.0,5026750,5026750,0.0,0.0,0,0
172.20.10.3,104.46.162.224,61768,443,6,473946,1,1,55,66,55,55,55,0.0,66,66,66,0.0,255.303347,4.21989,473946,0.0,473946,473946,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,52,2.109945,2.109945,55,66,60.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,60.5,55,66,0,0,0,0,0,0,1,55,1,66,252,16387,1,55,473946,0.0,473946,473946,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,64037,443,6,392519,1,1,75,86,75,75,75,0.0,86,86,86,0.0,410.171227,5.095295,392519,0.0,392519,392519,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,2.547647,2.547647,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,3936,1,75,392519,0.0,392519,392519,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4841:400::,49675,443,6,49598,1,1,75,86,75,75,75,0.0,86,86,86,0.0,3246.098633,40.324207,49598,0.0,49598,49598,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,20.162103,20.162103,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1045,1,75,49598,0.0,49598,49598,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4846:400::,64036,443,6,131580,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1223.590211,15.199878,131580,0.0,131580,131580,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,7.599939,7.599939,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,14156,1,75,131580,0.0,131580,131580,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4829:7700::,51805,443,17,171165,1,1,91,86,91,91,91,0.0,86,86,86,0.0,1034.089913,11.684632,171165,0.0,171165,171165,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,48,5.842316,5.842316,86,91,88.5,3.535534,12.5,0,0,0,0,0,0,0,0,1.0,88.5,91,86,0,0,0,0,0,0,1,91,1,86,0,0,1,91,171165,0.0,171165,171165,0.0,0.0,0,0
