Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
208.95.112.1,172.20.10.3,80,61855,6,606152,3,4,507,475,395,54,169,195.73196,313,54,118.75,129.5,1620.055696,11.548259,101025.333333,172478.497181,419268,90,605967,302983.5,165354.79946,419907,186060,606062,202020.666667,210442.810151,420413,549,1,1,0,0,124,160,4.949254,6.599005,54,395,140.285714,147.908434,21876.904762,2,1,0,2,7,0,0,0,1.333333,140.285714,169,118.75,0,0,0,0,0,0,3,507,4,475,8190,65535,1,54,606152,0.0,606152,606152,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,64038,443,6,301086,1,1,75,86,75,75,75,0.0,86,86,86,0.0,534.730941,6.64262,301086,0.0,301086,301086,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,3.32131,3.32131,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,1040,1,75,301086,0.0,301086,301086,0.0,0.0,0,0
172.20.10.3,208.95.112.1,61858,80,6,554535,5,3,532,497,304,54,106.4,110.583905,385,54,165.666667,189.958767,1855.608753,14.426501,79219.285714,97670.997259,186893,65,554535,138633.75,91240.533925,186958,1818,373475,186737.5,2421.840726,188450,185025,1,1,0,0,212,124,9.016563,5.409938,54,385,128.625,135.050189,18238.553571,2,2,0,2,7,0,0,0,0.6,128.625,106.4,165.666667,0,0,0,0,0,0,5,532,3,497,65535,8190,1,54,554535,0.0,554535,554535,0.0,0.0,0,0
172.20.10.3,208.95.112.1,61859,80,6,556786,5,3,529,501,301,54,105.8,109.243764,389,54,167,192.268042,1849.902835,14.368177,79540.857143,98503.365598,187206,69,556786,139196.5,92119.327254,187275,1075,375380,187690,748.118974,188219,187161,1,1,0,0,212,124,8.980111,5.388067,54,389,128.75,135.590507,18384.785714,2,2,0,2,7,0,0,0,0.6,128.75,105.8,167,0,0,0,0,0,0,5,529,3,501,65535,8190,1,54,556786,0.0,556786,556786,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,58524,443,6,25176,1,1,75,86,75,75,75,0.0,86,86,86,0.0,6394.979345,79.440737,25176,0.0,25176,25176,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,39.720369,39.720369,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,2322,1,75,25176,0.0,25176,25176,0.0,0.0,0,0
2401:4900:57d0:49f5:5824:a461:f3c3:770,2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,0,0,58,100,1,1,86,86,86,86,86,0.0,86,86,86,0.0,1720000.0,20000.0,100,0.0,100,100,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,10000.0,10000.0,86,86,86,0.0,0.0,0,0,0,0,0,0,0,0,1.0,86,86,86,0,0,0,0,0,0,1,86,1,86,0,0,0,86,100,0.0,100,100,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,64037,443,6,255373,1,1,75,86,75,75,75,0.0,86,86,86,0.0,630.450361,7.831682,255373,0.0,255373,255373,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,3.915841,3.915841,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,3926,1,75,255373,0.0,255373,255373,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4841:400::,49675,443,6,59935,1,1,75,86,75,75,75,0.0,86,86,86,0.0,2686.24343,33.369484,59935,0.0,59935,59935,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,16.684742,16.684742,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1045,1,75,59935,0.0,59935,59935,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4846:400::,64036,443,6,47201,1,1,75,86,75,75,75,0.0,86,86,86,0.0,3410.944683,42.371984,47201,0.0,47201,47201,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,21.185992,21.185992,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,14156,1,75,47201,0.0,47201,47201,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4860::8888,55757,443,6,126020,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1277.574988,15.870497,126020,0.0,126020,126020,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,7.935248,7.935248,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1036,1,75,126020,0.0,126020,126020,0.0,0.0,0,0
