Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,49705,443,6,179811,1,1,75,86,75,75,75,0.0,86,86,86,0.0,895.384598,11.12279,179811,0.0,179811,179811,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,5.561395,5.561395,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1038,1,75,179811,0.0,179811,179811,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4841:400::,49703,443,6,0,1,0,75,0,75,75,75,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,0,0,0,75,75,75,0.0,0.0,0,0,0,0,1,0,0,0,0.0,75,75,0.0,0,0,0,0,0,0,1,75,0,0,252,0,1,75,0.0,0.0,0,0,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,64038,443,6,543770,1,1,75,86,75,75,75,0.0,86,86,86,0.0,296.081064,3.678026,543770,0.0,543770,543770,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,1.839013,1.839013,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,1040,1,75,543770,0.0,543770,543770,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,58524,443,6,123129,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1307.571734,16.243127,123129,0.0,123129,123129,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,8.121564,8.121564,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,2322,1,75,123129,0.0,123129,123129,0.0,0.0,0,0
172.20.10.3,34.54.84.110,53574,443,6,0,1,0,55,0,55,55,55,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,0,0,0,55,55,55,0.0,0.0,0,0,0,0,1,0,0,0,0.0,55,55,0.0,0,0,0,0,0,0,1,55,0,0,511,0,1,55,0.0,0.0,0,0,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,fe80::84b1:e4ff:fe31:6264,60669,53,17,572146,1,1,110,235,110,110,110,0.0,235,235,235,0.0,602.992942,3.495611,572146,0.0,572146,572146,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,48,1.747806,1.747806,110,235,172.5,88.388348,7812.5,0,0,0,0,0,0,0,0,1.0,172.5,110,235,0,0,0,0,0,0,1,110,1,235,0,0,1,110,572146,0.0,572146,572146,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,fe80::84b1:e4ff:fe31:6264,54772,53,17,596509,1,1,110,279,110,110,110,0.0,279,279,279,0.0,652.127629,3.352841,596509,0.0,596509,596509,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,48,1.676421,1.676421,110,279,194.5,119.501046,14280.5,0,0,0,0,0,0,0,0,1.0,194.5,110,279,0,0,0,0,0,0,1,110,1,279,0,0,1,110,596509,0.0,596509,596509,0.0,0.0,0,0
172.20.10.3,8.8.8.8,54772,53,17,251507,1,1,90,255,90,90,90,0.0,255,255,255,0.0,1371.731204,7.952065,251507,0.0,251507,251507,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,28,3.976032,3.976032,90,255,172.5,116.672619,13612.5,0,0,0,0,0,0,0,0,1.0,172.5,90,255,0,0,0,0,0,0,1,90,1,255,0,0,1,90,251507,0.0,251507,251507,0.0,0.0,0,0
172.20.10.3,8.8.8.8,60669,53,17,251505,1,1,90,211,90,90,90,0.0,211,211,211,0.0,1196.795292,7.952128,251505,0.0,251505,251505,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,28,3.976064,3.976064,90,211,150.5,85.559921,7320.5,0,0,0,0,0,0,0,0,1.0,150.5,90,211,0,0,0,0,0,0,1,90,1,211,0,0,1,90,251505,0.0,251505,251505,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2606:4700:7::1fd,52308,80,6,310277,2,0,148,0,74,74,74,0.0,0,0,0.0,0.0,476.993138,6.445853,310277,0.0,310277,310277,310277,310277,0.0,310277,310277,0,0.0,0.0,0,0,0,0,0,0,120,0,6.445853,0.0,74,74,74,0.0,0.0,2,0,0,0,2,0,0,0,0.0,74,74,0.0,0,0,0,0,0,0,2,148,0,0,254,0,0,74,310277,0.0,310277,310277,0.0,0.0,0,0
