Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
2001:4860:4845:400::,2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,443,52122,6,0,1,0,86,0,86,86,86,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,72,0,0,0,86,86,86,0.0,0.0,0,0,0,0,1,0,0,0,0.0,86,86,0.0,0,0,0,0,0,0,1,86,0,0,9600,0,0,86,0.0,0.0,0,0,0.0,0.0,0,0
208.95.112.1,172.20.10.3,80,55905,6,155,1,1,54,54,54,54,54,0.0,54,54,54,0.0,696774.193548,12903.225806,155,0.0,155,155,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,6451.612903,6451.612903,54,54,54,0.0,0.0,1,0,0,0,2,0,0,0,1.0,54,54,54,0,0,0,0,0,0,1,54,1,54,8190,65200,0,54,155,0.0,155,155,0.0,0.0,0,0
208.95.112.1,172.20.10.3,80,55907,6,614748,3,4,501,470,389,54,167,192.268042,308,54,117.5,127.0,1579.509002,11.38678,102458,176556.790614,433039,120,614628,307314,182102.623573,436080,178548,614437,204812.333333,217280.518994,434628,2730,1,1,0,0,124,160,4.880048,6.506731,54,389,138.714286,145.213308,21086.904762,2,1,0,2,7,0,0,0,1.333333,138.714286,167,117.5,0,0,0,0,0,0,3,501,4,470,8190,65535,1,54,614748,0.0,614748,614748,0.0,0.0,0,0
172.20.10.3,208.95.112.1,55909,80,6,543046,5,3,536,501,308,54,107.2,112.370815,389,54,167,192.268042,1909.598819,14.731717,77578,96192.692411,206839,121,543046,135761.5,91448.368345,209379,2325,371379,185689.5,33516.154321,209389,161990,1,1,0,0,212,124,9.207323,5.524394,54,389,129.625,136.877356,18735.410714,2,2,0,2,7,0,0,0,0.6,129.625,107.2,167,0,0,0,0,0,0,5,536,3,501,65535,8190,1,54,543046,0.0,543046,543046,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4860::8844,63107,443,17,339243,6,9,1099,2298,270,97,183.166667,94.393679,646,84,255.333333,256.416166,10013.47117,44.216093,24231.642857,54211.399556,167221,0,131042,26208.4,58351.117832,130590,64,209389,26173.625,58870.965315,167221,0,0,0,0,0,288,432,17.686437,26.529656,84,646,226.466667,205.164348,42092.409524,0,0,0,0,0,0,0,0,1.5,226.466667,183.166667,255.333333,0,0,0,0,0,0,6,1099,9,2298,0,0,6,97,339243,0.0,339243,339243,0.0,0.0,0,0
172.20.10.3,151.101.2.132,65125,443,6,171622,5,9,416,9871,126,54,83.2,30.277054,5654,54,1096.777778,1805.909658,59939.867849,81.574623,13201.692308,36379.996801,128062,0,129834,32458.5,63807.532458,128165,43,43517,5439.625,14848.010275,42168,0,1,1,0,0,200,360,29.133794,52.440829,54,5654,734.785714,1503.746817,2261254.489011,0,0,0,8,14,0,0,0,1.8,734.785714,83.2,1096.777778,0,0,0,0,0,0,5,416,9,9871,1021,272,3,54,171622,0.0,171622,171622,0.0,0.0,0,0
172.20.10.3,208.95.112.1,55910,80,6,523975,5,3,536,501,308,54,107.2,112.370815,389,54,167,192.268042,1979.102056,15.267904,74853.571429,93290.619623,185042,123,523975,130993.75,88449.88126,186588,136,369939,184969.5,525.380338,185341,184598,1,1,0,0,212,124,9.54244,5.725464,54,389,129.625,136.877356,18735.410714,2,2,0,2,7,0,0,0,0.6,129.625,107.2,167,0,0,0,0,0,0,5,536,3,501,65535,8190,1,54,523975,0.0,523975,523975,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4842:400::,49808,443,6,30229,1,1,75,86,75,75,75,0.0,86,86,86,0.0,5326.011446,66.161633,30229,0.0,30229,30229,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,33.080816,33.080816,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1031,1,75,30229,0.0,30229,30229,0.0,0.0,0,0
172.20.10.3,208.95.112.1,55911,80,6,547077,5,3,536,501,308,54,107.2,112.370815,389,54,167,192.268042,1895.528417,14.62317,78153.857143,96685.070191,186370,96,547077,136769.25,90960.27234,188141,542,371560,185780,2025.153821,187212,184348,1,1,0,0,212,124,9.139481,5.483689,54,389,129.625,136.877356,18735.410714,2,2,0,2,7,0,0,0,0.6,129.625,107.2,167,0,0,0,0,0,0,5,536,3,501,65535,8190,1,54,547077,0.0,547077,547077,0.0,0.0,0,0
172.20.10.3,208.95.112.1,55912,80,6,732952,5,3,528,501,300,54,105.6,108.797059,389,54,167,192.268042,1403.911852,10.914767,104707.428571,143662.374503,367810,102,732952,183238,149804.231983,367912,1224,557768,278884,129147.396729,370205,187563,1,1,0,0,212,124,6.821729,4.093037,54,389,128.625,135.409366,18335.696429,2,2,0,2,7,0,0,0,0.6,128.625,105.6,167,0,0,0,0,0,0,5,528,3,501,65535,8190,1,54,732952,0.0,732952,732952,0.0,0.0,0,0
