Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4829:7700::,51805,443,17,282934,1,1,91,86,91,91,91,0.0,86,86,86,0.0,625.587593,7.068786,282934,0.0,282934,282934,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,48,48,3.534393,3.534393,86,91,88.5,3.535534,12.5,0,0,0,0,0,0,0,0,1.0,88.5,91,86,0,0,0,0,0,0,1,91,1,86,0,0,1,91,282934,0.0,282934,282934,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,49705,443,6,155367,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1036.25609,12.872746,155367,0.0,155367,155367,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,6.436373,6.436373,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,252,1040,1,75,155367,0.0,155367,155367,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4841:400::,49703,443,6,138983,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1158.415058,14.390249,138983,0.0,138983,138983,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,7.195125,7.195125,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,252,1046,1,75,138983,0.0,138983,138983,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,64038,443,6,242362,1,1,75,86,75,75,75,0.0,86,86,86,0.0,664.295558,8.252119,242362,0.0,242362,242362,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,4.126059,4.126059,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,1040,1,75,242362,0.0,242362,242362,0.0,0.0,0,0
104.46.162.224,172.20.10.3,443,55659,6,0,1,0,54,0,54,54,54,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,0,0,0,54,54,54,0.0,0.0,0,0,1,0,1,0,0,0,0.0,54,54,0.0,0,0,0,0,0,0,1,54,0,0,0,0,0,54,0.0,0.0,0,0,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,58524,443,6,171891,1,1,75,86,75,75,75,0.0,86,86,86,0.0,936.64008,11.63528,171891,0.0,171891,171891,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,5.81764,5.81764,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,253,2322,1,75,171891,0.0,171891,171891,0.0,0.0,0,0
172.20.10.3,34.54.84.110,53574,443,6,503119,2,3,192,240,99,93,96,4.242641,132,54,80,45.033321,858.64378,9.938007,125779.75,130860.16668,258827,317,475741,475741,0.0,475741,475741,286522,143261,163435.004549,258827,27695,1,1,0,0,80,120,3.975203,5.962804,54,132,86.4,33.095317,1095.3,0,0,0,3,5,0,0,0,1.5,86.4,96,80,0,0,0,0,0,0,2,192,3,240,507,1045,2,93,503119,0.0,503119,503119,0.0,0.0,0,0
