Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4845:400::,52122,443,6,190402,1,1,75,86,75,75,75,0.0,86,86,86,0.0,845.579353,10.504091,190402,0.0,190402,190402,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,5.252046,5.252046,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,9600,1,75,190402,0.0,190402,190402,0.0,0.0,0,0
208.95.112.1,172.20.10.3,80,62500,6,461878,2,2,405,108,351,54,202.5,210.010714,54,54,54,0.0,1110.682908,8.660296,153959.333333,265396.378893,460412,176,461702,461702,0.0,461702,461702,460588,460588,0.0,460588,460588,1,0,0,0,80,80,4.330148,4.330148,54,351,128.25,148.5,22052.25,2,0,0,1,4,0,0,0,1.0,128.25,202.5,54,0,0,0,0,0,0,2,405,2,108,8190,65238,1,54,461878,0.0,461878,461878,0.0,0.0,0,0
172.20.10.3,208.95.112.1,62502,80,6,789205,5,3,533,463,305,54,106.6,111.030626,351,54,154.333333,170.330072,1262.029511,10.136783,112743.571429,170101.00446,456282,125,789205,197301.25,189587.656195,456522,1367,332798,166399,17561.704018,178817,153981,1,1,0,0,212,124,6.33549,3.801294,54,351,124.5,126.269553,15944.0,2,2,0,2,7,0,0,0,0.6,124.5,106.6,154.333333,0,0,0,0,0,0,5,533,3,463,65535,8190,1,54,789205,0.0,789205,789205,0.0,0.0,0,0
172.20.10.3,208.95.112.1,62503,80,6,434731,5,3,533,463,305,54,106.6,111.030626,351,54,154.333333,170.330072,2291.07195,18.402184,62104.428571,84388.114506,185977,165,434731,108682.75,87839.917351,187439,473,262448,131224,78512.894342,186741,75707,1,1,0,0,212,124,11.501365,6.900819,54,351,124.5,126.269553,15944.0,2,2,0,2,7,0,0,0,0.6,124.5,106.6,154.333333,0,0,0,0,0,0,5,533,3,463,65535,8190,1,54,434731,0.0,434731,434731,0.0,0.0,0,0
172.20.10.3,208.95.112.1,62504,80,6,558337,5,3,533,463,305,54,106.6,111.030626,351,54,154.333333,170.330072,1783.868882,14.328264,79762.428571,99067.160457,186981,176,558337,139584.25,92877.970967,187678,286,374328,187164,394.565584,187443,186885,1,1,0,0,212,124,8.955165,5.373099,54,351,124.5,126.269553,15944.0,2,2,0,2,7,0,0,0,0.6,124.5,106.6,154.333333,0,0,0,0,0,0,5,533,3,463,65535,8190,1,54,558337,0.0,558337,558337,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4842:400::,49808,443,6,32934,1,1,75,86,75,75,75,0.0,86,86,86,0.0,4888.565009,60.727516,32934,0.0,32934,32934,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,30.363758,30.363758,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1031,1,75,32934,0.0,32934,32934,0.0,0.0,0,0
172.20.10.3,208.95.112.1,62505,80,6,557113,5,3,533,463,305,54,106.6,111.030626,351,54,154.333333,170.330072,1787.788115,14.359744,79587.571429,98799.127484,208480,128,557113,139278.25,93232.765715,209828,2811,372858,186429,35778.188914,211728,161130,1,1,0,0,212,124,8.97484,5.384904,54,351,124.5,126.269553,15944.0,2,2,0,2,7,0,0,0,0.6,124.5,106.6,154.333333,0,0,0,0,0,0,5,533,3,463,65535,8190,1,54,557113,0.0,557113,557113,0.0,0.0,0,0
172.20.10.3,208.95.112.1,61501,80,6,931956,5,3,532,462,304,54,106.4,110.583905,350,54,154,169.752761,1066.573958,8.584096,133136.571429,182484.582979,388299,64,931956,232989,189333.092552,388363,1406,776879,388439.5,1064.195706,389192,387687,1,1,0,0,212,124,5.36506,3.219036,54,350,124.25,125.809096,15827.928571,2,2,0,2,7,0,0,0,0.6,124.25,106.4,154,0,0,0,0,0,0,5,532,3,462,65535,8190,1,54,931956,0.0,931956,931956,0.0,0.0,0,0
172.20.10.3,208.95.112.1,56948,80,6,867136,5,3,533,463,305,54,106.6,111.030626,351,54,154.333333,170.330072,1148.608753,9.225773,123876.571429,185130.961181,397588,116,867136,216784,204731.670011,398265,515,482266,241133,222191.335425,398246,84020,1,1,0,0,212,124,5.766108,3.459665,54,351,124.5,126.269553,15944.0,2,2,0,2,7,0,0,0,0.6,124.5,106.6,154.333333,0,0,0,0,0,0,5,533,3,463,65535,8190,1,54,867136,0.0,867136,867136,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4843:400::,64028,443,6,262749,1,1,75,86,75,75,75,0.0,86,86,86,0.0,612.752094,7.611827,262749,0.0,262749,262749,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,3.805914,3.805914,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,255,1045,1,75,262749,0.0,262749,262749,0.0,0.0,0,0
