Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
208.95.112.1,172.20.10.3,80,53052,6,432196,2,1,108,54,54,54,54,0.0,54,54,54,0.0,374.829938,6.941295,216098,305348.507106,432012,184,432196,432196,0.0,432196,432196,0,0.0,0.0,0,0,0,0,0,0,80,40,4.62753,2.313765,54,54,54,0.0,0.0,1,0,0,0,3,0,0,0,0.5,54,54,54,0,0,0,0,0,0,2,108,1,54,8190,65393,0,54,432196,0.0,432196,432196,0.0,0.0,0,0
208.95.112.1,172.20.10.3,80,53055,6,1536530,3,5,308,528,196,54,102.666667,80.853777,312,54,105.6,115.381108,544.083096,5.206537,219504.285714,258192.087497,562069,104,1536426,768213,475199.798588,1104230,432196,1536094,384023.5,249397.505268,562173,15035,1,1,0,0,124,200,1.952451,3.254086,54,312,104.5,97.352086,9477.428571,2,1,0,2,8,0,0,0,1.666667,104.5,102.666667,105.6,0,0,0,0,0,0,3,308,5,528,8190,65535,1,54,1536530,0.0,1536530,1536530,0.0,0.0,0,0
172.217.112.4,172.20.10.3,443,54950,6,0,1,0,66,0,66,66,66,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,52,0,0,0,66,66,66,0.0,0.0,0,0,0,0,1,0,0,0,0.0,66,66,0.0,0,0,0,0,0,0,1,66,0,0,9326,0,0,66,0.0,0.0,0,0,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53656,80,6,1663602,6,3,594,308,312,54,99,104.458604,196,54,102.666667,80.853777,542.196992,5.409948,207950.25,289413.588066,790929,168,1663602,332720.4,320147.836998,791097,12177,1248079,624039.5,353984.018623,874344,373735,1,1,0,0,252,124,3.606632,1.803316,54,312,100.222222,91.964365,8457.444444,2,2,0,2,8,0,0,0,0.5,100.222222,99,102.666667,0,0,0,0,0,0,6,594,3,308,65535,8190,1,54,1663602,0.0,1663602,1663602,0.0,0.0,0,0
2401:4900:57d0:49f5:38ac:41c6:f1b4:fb31,2001:4860:4840:400::,54907,443,6,115772,1,1,75,86,75,75,75,0.0,86,86,86,0.0,1390.664409,17.275334,115772,0.0,115772,115772,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,60,72,8.637667,8.637667,75,86,80.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,80.5,75,86,0,0,0,0,0,0,1,75,1,86,252,1045,1,75,115772,0.0,115772,115772,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53658,80,6,1118020,5,3,538,307,310,54,107.6,113.264293,195,54,102.333333,80.276605,755.800433,7.155507,159717.142857,269629.372328,745467,106,1118020,279505,321887.893896,745699,7322,372447,186223.5,2947.928171,188308,184139,1,1,0,0,212,124,4.472192,2.683315,54,310,105.625,95.809241,9179.410714,2,2,0,2,7,0,0,0,0.6,105.625,107.6,102.333333,0,0,0,0,0,0,5,538,3,307,65535,8190,1,54,1118020,0.0,1118020,1118020,0.0,0.0,0,0
172.20.10.3,34.54.84.110,63204,443,6,127826,1,1,55,66,55,55,55,0.0,66,66,66,0.0,946.599283,15.646269,127826,0.0,127826,127826,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,52,7.823135,7.823135,55,66,60.5,7.778175,60.5,0,0,0,0,2,0,0,0,1.0,60.5,55,66,0,0,0,0,0,0,1,55,1,66,510,1043,1,55,127826,0.0,127826,127826,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53659,80,6,522596,5,3,555,307,327,54,111,120.859422,195,54,102.333333,80.276605,1649.457707,15.308192,74656.571429,81146.54952,183611,77,522596,130649,90673.373743,222612,6204,385732,192866,3944.241625,195655,190077,1,1,0,0,212,124,9.56762,5.740572,54,327,107.75,101.035708,10208.214286,2,2,0,2,7,0,0,0,0.6,107.75,111,102.333333,0,0,0,0,0,0,5,555,3,307,65535,8190,1,54,522596,0.0,522596,522596,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53660,80,6,1110044,5,3,538,307,310,54,107.6,113.264293,195,54,102.333333,80.276605,761.231086,7.206922,158577.714286,208218.396011,552903,117,1110044,277511,215992.201756,553020,27838,557006,278503,56391.7658,318378,238628,1,1,0,0,212,124,4.504326,2.702596,54,310,105.625,95.809241,9179.410714,2,2,0,2,7,0,0,0,0.6,105.625,107.6,102.333333,0,0,0,0,0,0,5,538,3,307,65535,8190,1,54,1110044,0.0,1110044,1110044,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,fe80::84b1:e4ff:fe31:6264,61675,53,17,4823769,2,2,180,268,90,90,90,0.0,134,134,134,0.0,92.873436,0.829227,1607923,2690242.13656,4713843,6502,4817267,4817267,0.0,4817267,4817267,4720345,4720345,0.0,4720345,4720345,0,0,0,0,96,96,0.414614,0.414614,90,134,112,25.403412,645.333333,0,0,0,0,0,0,0,0,1.0,112,90,134,0,0,0,0,0,0,2,180,2,268,0,0,2,90,4823769,0.0,4823769,4823769,0.0,0.0,0,0
