Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
208.95.112.1,172.20.10.3,80,53674,6,184487,2,2,249,108,195,54,124.5,99.702056,54,54,54,0.0,1935.095698,21.681745,61495.666667,103299.653641,180761,234,184253,184253,0.0,184253,184253,180995,180995,0.0,180995,180995,1,0,0,0,80,80,10.840872,10.840872,54,195,89.25,70.5,4970.25,2,0,0,1,4,0,0,0,1.0,89.25,124.5,54,0,0,0,0,0,0,2,249,2,108,8190,65394,1,54,184487,0.0,184487,184487,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53675,80,6,933029,5,3,529,307,301,54,105.8,109.243764,195,54,102.333333,80.276605,896.006448,8.574224,133289.857143,178756.157245,398883,120,933029,233257.25,183638.05667,402049,240,758176,379088,28769.346499,399431,358745,1,1,0,0,212,124,5.35889,3.215334,54,301,104.5,93.08061,8664.0,2,2,0,2,7,0,0,0,0.6,104.5,105.8,102.333333,0,0,0,0,0,0,5,529,3,307,65535,8190,1,54,933029,0.0,933029,933029,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53676,80,6,641280,5,3,529,307,301,54,105.8,109.243764,195,54,102.333333,80.276605,1303.642715,12.47505,91611.428571,132547.194895,349963,257,641280,160320,145437.193737,350276,1833,291060,145530,35993.149376,170981,120079,1,1,0,0,212,124,7.796906,4.678144,54,301,104.5,93.08061,8664.0,2,2,0,2,7,0,0,0,0.6,104.5,105.8,102.333333,0,0,0,0,0,0,5,529,3,307,65535,8190,1,54,641280,0.0,641280,641280,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53678,80,6,350852,5,3,529,307,301,54,105.8,109.243764,195,54,102.333333,80.276605,2382.771083,22.801637,50121.714286,60781.243847,117671,105,350852,87713,57575.685985,121343,1608,240547,120273.5,900.146932,120910,119637,1,1,0,0,212,124,14.251023,8.550614,54,301,104.5,93.08061,8664.0,2,2,0,2,7,0,0,0,0.6,104.5,105.8,102.333333,0,0,0,0,0,0,5,529,3,307,65535,8190,1,54,350852,0.0,350852,350852,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53679,80,6,1392639,6,4,584,361,302,54,97.333333,100.380609,195,54,90.25,69.858786,678.567813,7.180612,154737.666667,179105.643008,435909,232,956730,191346,158505.120758,363239,2529,1280376,426792,295895.291093,717902,126333,1,1,0,0,252,164,4.308367,2.872245,54,302,94.5,85.076763,7238.055556,3,2,0,2,9,0,0,0,0.666667,94.5,97.333333,90.25,0,0,0,0,0,0,6,584,4,361,65535,8190,1,54,1392639,0.0,1392639,1392639,0.0,0.0,0,0
172.20.10.3,208.95.112.1,53680,80,6,1578457,5,3,530,307,302,54,106,109.690474,195,54,102.333333,80.276605,530.264683,5.068241,225493.857143,291469.824926,706364,67,1578457,394614.25,286417.013009,706672,12209,872026,436013,181.019336,436141,435885,1,1,0,0,212,124,3.16765,1.90059,54,302,104.625,93.382374,8720.267857,2,2,0,2,7,0,0,0,0.6,104.625,106,102.333333,0,0,0,0,0,0,5,530,3,307,65535,8190,1,54,1578457,0.0,1578457,1578457,0.0,0.0,0,0
172.20.10.3,208.95.112.1,62485,80,6,1088825,5,3,527,493,299,54,105.4,108.350358,381,54,164.333333,187.649496,936.789659,7.34737,155546.428571,199383.300759,428254,156,1088825,272206.25,194293.666758,428410,565,660375,330187.5,94935.449335,397317,263058,1,1,0,0,212,124,4.592106,2.755264,54,381,127.5,133.039199,17699.428571,2,2,0,2,7,0,0,0,0.6,127.5,105.4,164.333333,0,0,0,0,0,0,5,527,3,493,65535,8190,1,54,1088825,0.0,1088825,1088825,0.0,0.0,0,0
172.20.10.3,208.95.112.1,62486,80,6,1231462,5,3,529,494,301,54,105.8,109.243764,382,54,164.666667,188.226814,830.719909,6.496343,175923.142857,219173.735442,425011,113,1231462,307865.5,205531.448491,425824,1054,849929,424964.5,1931.108619,426330,423599,1,1,0,0,212,124,4.060215,2.436129,54,382,127.875,133.680256,17870.410714,2,2,0,2,7,0,0,0,0.6,127.875,105.8,164.666667,0,0,0,0,0,0,5,529,3,494,65535,8190,1,54,1231462,0.0,1231462,1231462,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,fe80::84b1:e4ff:fe31:6264,61675,53,17,4529764,2,2,180,268,90,90,90,0.0,134,134,134,0.0,98.9014,0.883048,1509921.333333,2603609.058261,4516310,6008,4522318,4522318,0.0,4522318,4522318,4523756,4523756,0.0,4523756,4523756,0,0,0,0,96,96,0.441524,0.441524,90,134,112,25.403412,645.333333,0,0,0,0,0,0,0,0,1.0,112,90,134,0,0,0,0,0,0,2,180,2,268,0,0,2,90,4529764,0.0,4529764,4529764,0.0,0.0,0,0
172.20.10.3,208.95.112.1,62488,80,6,849053,5,3,523,491,295,54,104.6,106.563596,379,54,163.666667,186.494861,1194.271736,9.422262,121293.285714,163512.74968,412665,258,849053,212263.25,168552.373685,412955,539,436130,218065,13024.906909,227275,208855,1,1,0,0,212,124,5.888914,3.533348,54,379,126.75,131.760334,17360.785714,2,2,0,2,7,0,0,0,0.6,126.75,104.6,163.666667,0,0,0,0,0,0,5,523,3,491,65535,8190,1,54,849053,0.0,849053,849053,0.0,0.0,0,0
